WigleWifi-1.4,appRelease=1.0,model=Moonkeep,release=1.0,device=Moonkeep-Server,display=Moonkeep,board=Moonkeep,brand=Moonkeep
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
b4:63:6f:b9:b6:18,ATT6ifzkhi,WPA2-Personal,2026-03-10 22:32:04,48,-50.5,0.0,0.0,0,0,WIFI
b4:63:6f:b9:b6:18,ATT6ifzkhi,WPA2-Personal,2026-03-10 22:47:51,48,-50.5,0.0,0.0,0,0,WIFI
b4:63:6f:b9:b6:18,ATT6ifzkhi,WPA2-Personal,2026-03-10 22:47:54,48,-50.5,0.0,0.0,0,0,WIFI
b4:63:6f:b9:b6:18,ATT6ifzkhi,WPA2-Personal,2026-03-10 22:47:55,48,-50.5,0.0,0.0,0,0,WIFI
